episode,success_delta_on_minus_off,zone_time_delta_on_minus_off,zone_ratio_delta_on_minus_off,target_err_mean_delta_on_minus_off,attach_err_mean_delta_on_minus_off,hf_target_err_diff_rms_delta_on_minus_off,hf_attach_err_diff_rms_delta_on_minus_off,hf_qdot_diff_rms_delta_on_minus_off,qdot_norm_mean_delta_on_minus_off,cond_log10_mean_delta_on_minus_off,manip_w_mean_delta_on_minus_off,manip_risk_mean_delta_on_minus_off,win_zone_time_on,win_attach_err_on,win_hf_qdot_on,win_cond_on,win_manip_w_on,win_manip_risk_on
93,0,0.0,0.0,0.0018633408903482723,-7.854639420644405e-05,-3.8561878590967665e-06,-8.265585970026166e-06,0.003678773569406185,-0.0020985818728771477,0.001475577077598711,0.10739207646248852,0.03583603812542033,0,1,0,0,1,0
94,0,0.0,0.0,-0.00047758230190600437,1.688440496002558e-05,9.097590638711562e-06,2.0362059749320623e-06,-0.004297427157244543,0.01939083586717616,-0.007140070219362027,0.1491639426986974,0.030988375031932032,0,0,1,1,1,0
95,0,0.0,0.0,0.003201723871149059,0.00018168222392635908,2.6533671394209893e-05,1.1314066726286396e-05,0.003978590983756136,0.07961664556410719,-0.0478723616192509,0.14783094198307636,0.02193276393941022,0,0,0,1,1,0
96,0,-0.00599999999999995,-0.00035735556879094854,-0.004174765691249083,-0.00026817420854681473,1.710374297251866e-06,2.562096245364116e-06,-0.004896880193573511,-0.027377196225493394,-0.036075888485259,0.1566383530102185,0.018684587136081524,1,1,1,1,1,0
97,0,0.006000000000000005,0.0007117437722419951,-0.0015611747595498104,-0.0008753310484800325,2.703736741515835e-06,1.3544967191451377e-05,-0.0007382047498621092,-0.058955918261627493,-0.011206865685343903,0.11044892872426065,0.04121587857935797,0,1,1,1,1,0
98,0,0.024000000000000007,0.0025343189017951427,0.0010893938137328252,9.295486690277452e-05,-1.9308694845275934e-06,-5.026986044650542e-06,0.0032079307142608704,-0.0037423583918223535,0.0016129144281271657,0.13461011841212214,0.032462418795221284,0,0,0,0,1,0
99,0,0.005999999999999998,0.0006802721088435375,0.000156611674396942,-0.0008160777819187122,2.504762638207321e-08,2.418705129981981e-06,0.004308556951801323,-0.014509453143826123,-0.010163405453433416,0.14281430772701392,0.04066522407711459,0,1,0,1,1,0
100,0,0.0,0.0,-0.0005891504877730824,1.231747475659642e-05,3.025504676645776e-06,-5.380448038704261e-06,0.0038574980292981342,0.004124920263630316,-0.0029661943253449508,0.12028700959734091,0.02873676246034133,0,0,0,1,1,0
101,0,0.0040000000000000036,0.0004662004662004636,-0.0011812083522839967,-0.0011238513508670736,1.3949656256228692e-05,3.472652928724143e-05,0.007548867382123431,-0.01706813111910077,-0.004293830038149871,0.1260662825186531,0.04034220905360223,0,1,0,1,1,0
102,0,0.0,0.0,0.001080923308342363,-7.685426461522676e-06,-1.2443321442464229e-06,-3.74859549490483e-06,0.0038197970509326884,0.0012518753321739684,0.0026342027691996783,0.14438254332889403,0.029188356986445237,0,1,0,0,1,0
